,full_price,city,eu_country,bedrooms,person_capacity,cleanliness_rating,guest_satisfaction_overall,distance_to_center,distance_to_metro
777,798.6314531436741,amsterdam,Netherlands,2,4.0,10.0,95.0,1.1470018548364147,1.1995965097495065
779,673.4937782672885,amsterdam,Netherlands,2,4.0,8.0,80.0,0.8031378819495307,0.8839577106481199
780,699.0368617158391,amsterdam,Netherlands,3,4.0,10.0,95.0,0.9159026964790178,0.4093475670674387
786,1199.5875612213813,amsterdam,Netherlands,3,6.0,10.0,98.0,3.628542356356035,0.8499333406372869
789,606.0037963114851,amsterdam,Netherlands,3,6.0,10.0,94.0,7.536428063847354,0.8891807824210028
791,682.8673868722612,amsterdam,Netherlands,1,4.0,10.0,84.0,2.206552019339292,0.5155278023657777
792,675.8371804185317,amsterdam,Netherlands,2,4.0,8.0,93.0,4.0944518730887545,0.2791166329324314
798,669.7443348252995,amsterdam,Netherlands,3,4.0,10.0,96.0,1.4124607027728648,0.9831304711412682
799,622.876291800436,amsterdam,Netherlands,2,4.0,9.0,97.0,2.0998153753361,0.3243962311995282
802,639.9831275045111,amsterdam,Netherlands,2,4.0,10.0,100.0,4.220556208072695,0.3120222481832971
810,921.6600660839408,amsterdam,Netherlands,2,4.0,10.0,100.0,1.3089707963485309,0.3424234828581192
814,699.0368617158391,amsterdam,Netherlands,1,3.0,10.0,95.0,1.0505505188320818,0.5587609221333576
817,653.5748599817215,amsterdam,Netherlands,1,2.0,10.0,100.0,0.8946649699607463,0.3842044610919012
820,798.6314531436741,amsterdam,Netherlands,1,4.0,10.0,97.0,0.7053916540638546,0.4546837615319491
834,1198.1815199306354,amsterdam,Netherlands,2,4.0,10.0,100.0,1.0622277144004433,0.2513610264574114
838,764.4177817355237,amsterdam,Netherlands,2,4.0,10.0,100.0,3.879703742801448,1.0128586947340377
839,602.0200126543716,amsterdam,Netherlands,1,2.0,7.0,80.0,3.673035031025522,0.6952591367294633
843,940.1729430787618,amsterdam,Netherlands,2,4.0,10.0,80.0,0.9145628895743289,0.4087410334791735
845,649.1223958943594,amsterdam,Netherlands,3,4.0,10.0,100.0,4.031395274924495,2.7137451204298437
846,952.5929744803508,amsterdam,Netherlands,1,4.0,10.0,88.0,1.2559576256254443,0.3850952787449667
851,1348.6279380404471,amsterdam,Netherlands,2,6.0,10.0,100.0,1.8202441536342264,0.2136804447445945
852,636.7023644927707,amsterdam,Netherlands,2,4.0,9.0,90.0,0.4353879812681013,0.304291556712768
863,814.5665877721276,amsterdam,Netherlands,1,4.0,8.0,80.0,2.280619541254618,1.5968811141799186
865,713.8002952686711,amsterdam,Netherlands,1,4.0,10.0,100.0,1.0002345144085256,0.49622052078854
867,786.4457619572096,amsterdam,Netherlands,2,4.0,10.0,93.0,1.0256276331462362,0.8626311279689606
868,718.9557800014061,amsterdam,Netherlands,2,4.0,9.0,92.0,2.020715217433039,0.6736168389407574
871,823.4715159468517,amsterdam,Netherlands,3,4.0,10.0,99.0,1.7493625479935593,1.086370828433474
872,761.8400393691562,amsterdam,Netherlands,0,4.0,9.0,80.0,2.183217250836813,0.9715567380553226
875,921.6600660839408,amsterdam,Netherlands,2,4.0,10.0,100.0,3.1135013298466814,1.4838249875839693
